Time [s],Packet ID,MOSI,MISO
9.0114764000,12926,0x40,
9.0114893000,12926,0x21,
9.0115074800,12926,0x00,
9.0115203800,12926,0x00,
9.0115332600,12926,0x00,
9.0115461600,12926,0x00,
9.0115590600,12926,0x00,
9.0115719400,12926,0x00,
9.0127949600,12927,0x07,
9.0128043600,12927,0x2E,
9.0128201800,12928,0x27,
9.0128300400,12928,0x2E,
9.0128446200,12929,0xE1,
9.0128544600,12929,0x00,
9.0128745200,12930,0x20,
9.0128845600,12930,0x8F,
9.0177467200,12931,0x07,
9.0177561400,12931,0x0E,
9.0177737000,12932,0x20,
9.0177837400,12932,0x8E,
9.0181228800,12933,0x25,
9.0181327200,12933,0x40,
9.0182205200,12934,0xA0,
9.0182394600,12934,0xC0,
9.0182523600,12934,0xB6,
9.0182652400,12934,0xDE,
9.0182781200,12934,0x24,
9.0182910200,12934,0x7D,
9.0183037200,12934,0x7D,
9.0183164200,12934,0x7D,
9.0183291400,12934,0x7D,
9.0183418400,12934,0x20,
9.0183547400,12934,0x20,
9.0183731000,12934,0x20,
9.0183860000,12934,0x40,
9.0183988800,12934,0x82,
9.0184117800,12934,0x26,
9.0184246800,12934,0x40,
9.0184375600,12934,0x04,
9.0184504600,12934,0x40,
9.0184633600,12934,0x21,
9.0184760600,12934,0x00,
9.0184944400,12934,0x00,
9.0185073400,12934,0x00,
9.0185202400,12934,0x00,
9.0185331200,12934,0x00,
9.0185460200,12934,0x00,
9.0197383200,12935,0x07,
9.0197477200,12935,0x2E,
9.0197635400,12936,0x27,
9.0197733600,12936,0x2E,
9.0197879400,12937,0xE1,
9.0197977800,12937,0x00,
9.0198123600,12938,0x20,
9.0198223800,12938,0x8F,
9.0247504200,12939,0x07,
9.0247598400,12939,0x0E,
9.0247774200,12940,0x20,
9.0247874600,12940,0x8E,
9.0251221800,12941,0x25,
9.0251320200,12941,0x40,
9.0252198200,12942,0xA0,
9.0252387800,12942,0x80,
9.0252516600,12942,0xB6,
9.0252645800,12942,0xDE,
9.0252774800,12942,0x24,
9.0252903800,12942,0x7D,
9.0253031000,12942,0x7D,
9.0253158000,12942,0x7D,
9.0253285200,12942,0x7D,
9.0253412200,12942,0x20,
9.0253596000,12942,0x20,
9.0253725200,12942,0x20,
9.0253854000,12942,0x40,
9.0253983000,12942,0xC2,
9.0254112000,12942,0x26,
9.0254241000,12942,0x40,
9.0254370000,12942,0x04,
9.0254499000,12942,0x40,
9.0254628000,12942,0x21,
9.0254809800,12942,0x00,
9.0254938800,12942,0x00,
9.0255067800,12942,0x00,
9.0255196800,12942,0x00,
9.0255325800,12942,0x00,
9.0255454800,12942,0x00,
